编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#784,"Dr. Muto (Europe) (En,Fr,De,Es,It)","疯狂博士 （欧版） (En,Fr,De,Es,It)",疯狂博士,
GBA#785,Dr. Seuss' The Cat in the Hat (USA),爱戴帽子的猫博士 （美版）,爱戴帽子的猫博士,
GBA#786,Dr. Sudoku (Europe),数独医生 （欧版）,数独医生,
GBA#787,Dr. Sudoku (USA),数独医生 （美版）,数独医生,
GBA#788,Dragon Ball - Advance Adventure (Japan),龙珠大冒险 （日版）,龙珠大冒险,
GBA#789,Dragon Ball - Advance Adventure (Korea),龙珠大冒险 (Korea),龙珠大冒险,
GBA#790,"Dragon Ball - Advanced Adventure (Europe) (En,Fr,De,Es,It)","龙珠大冒险 （欧版） (En,Fr,De,Es,It)",龙珠大冒险,
GBA#791,Dragon Ball - Advanced Adventure (USA),龙珠大冒险 （美版）,龙珠大冒险,
GBA#792,Dragon Ball GT - Transformation (USA),龙珠GT-突变 （美版）,龙珠GT-突变,
GBA#793,Dragon Ball Z - Bukuu Tougeki (Japan),龙珠Z-舞空斗剧 （日版）,龙珠Z-舞空斗剧,
GBA#794,Dragon Ball Z - Buu's Fury (USA),龙珠Z-布欧的愤怒 （美版）,龙珠Z-布欧的愤怒,
GBA#795,Dragon Ball Z - Collectible Card Game (USA),七龙珠Z-卡片收集游戏 （美版）,七龙珠Z-卡片收集游戏,
GBA#796,Dragon Ball Z - Moogongtoogeuk (Korea),龙珠Z-舞空斗剧 (Korea),龙珠Z-舞空斗剧,
GBA#797,"Dragon Ball Z - Supersonic Warriors (Europe) (En,Fr,De,Es,It)","龙珠Z-舞空斗剧 （欧版） (En,Fr,De,Es,It)",龙珠Z-舞空斗剧,
GBA#798,Dragon Ball Z - Supersonic Warriors (USA),龙珠Z-舞空斗剧 （美版）,龙珠Z-舞空斗剧,
GBA#799,"Dragon Ball Z - Taiketsu (Europe) (En,Fr,De,Es,It)","龙珠Z-对决 （欧版） (En,Fr,De,Es,It)",龙珠Z-对决,
GBA#800,Dragon Ball Z - Taiketsu (USA),龙珠Z-对决 （美版）,龙珠Z-对决,
